SourceType,SourceID,Shielding,PhotonEnergy,CountRate
HEU,1,0,13,2.97E+01
HEU,1,0,15,7.02E+01
HEU,1,0,17,1.14E+02
HEU,1,0,19,7.68E+01
HEU,1,0,21,5.14E+01
HEU,1,0,23,4.10E+01
HEU,1,0,25,3.89E+01
HEU,1,0,27,4.21E+01
HEU,1,0,29,3.33E+01
HEU,1,0,31,2.16E+01
HEU,1,0,33,1.64E+01
HEU,1,0,35,1.45E+01
HEU,1,0,37,1.36E+01
HEU,1,0,39,1.34E+01
HEU,1,0,41,1.37E+01
HEU,1,0,43,1.46E+01
HEU,1,0,45,1.60E+01
HEU,1,0,47,1.89E+01
HEU,1,0,49,2.47E+01
HEU,1,0,51,3.41E+01
HEU,1,0,53,4.50E+01
HEU,1,0,55,5.32E+01
HEU,1,0,57,5.63E+01
HEU,1,0,59,5.61E+01
HEU,1,0,61,5.73E+01
HEU,1,0,63,6.29E+01
HEU,1,0,65,7.23E+01
HEU,1,0,67,8.20E+01
HEU,1,0,69,8.86E+01
HEU,1,0,71,9.10E+01
HEU,1,0,73,9.22E+01
HEU,1,0,75,9.86E+01
HEU,1,0,77,1.17E+02
HEU,1,0,79,1.52E+02
HEU,1,0,81,2.01E+02
HEU,1,0,83,2.63E+02
HEU,1,0,85,3.38E+02
HEU,1,0,87,4.32E+02
HEU,1,0,89,5.60E+02
HEU,1,0,91,7.23E+02
HEU,1,0,93,9.04E+02
HEU,1,0,95,1.06E+03
HEU,1,0,97,1.15E+03
HEU,1,0,99,1.14E+03
HEU,1,0,101,1.04E+03
HEU,1,0,103,8.93E+02
HEU,1,0,105,7.44E+02
HEU,1,0,107,6.32E+02
HEU,1,0,109,5.65E+02
HEU,1,0,111,5.26E+02
HEU,1,0,113,4.91E+02
HEU,1,0,115,4.43E+02
HEU,1,0,117,3.76E+02
HEU,1,0,119,2.98E+02
HEU,1,0,121,2.19E+02
HEU,1,0,123,1.52E+02
HEU,1,0,125,1.02E+02
HEU,1,0,127,6.94E+01
HEU,1,0,129,5.37E+01
HEU,1,0,131,5.15E+01
HEU,1,0,133,6.01E+01
HEU,1,0,135,7.68E+01
HEU,1,0,137,9.88E+01
HEU,1,0,139,1.23E+02
HEU,1,0,141,1.45E+02
HEU,1,0,143,1.61E+02
HEU,1,0,145,1.70E+02
HEU,1,0,147,1.69E+02
HEU,1,0,149,1.61E+02
HEU,1,0,151,1.50E+02
HEU,1,0,153,1.38E+02
HEU,1,0,155,1.30E+02
HEU,1,0,157,1.27E+02
HEU,1,0,159,1.29E+02
HEU,1,0,161,1.37E+02
HEU,1,0,163,1.51E+02
HEU,1,0,165,1.70E+02
HEU,1,0,167,2.00E+02
HEU,1,0,169,2.44E+02
HEU,1,0,171,3.08E+02
HEU,1,0,173,3.97E+02
HEU,1,0,175,5.12E+02
HEU,1,0,177,6.49E+02
HEU,1,0,179,7.97E+02
HEU,1,0,181,9.43E+02
HEU,1,0,183,1.07E+03
HEU,1,0,185,1.15E+03
HEU,1,0,187,1.18E+03
HEU,1,0,189,1.16E+03
HEU,1,0,191,1.08E+03
HEU,1,0,193,9.70E+02
HEU,1,0,195,8.33E+02
HEU,1,0,197,6.92E+02
HEU,1,0,199,5.60E+02
HEU,1,0,201,4.46E+02
HEU,1,0,203,3.55E+02
HEU,1,0,205,2.84E+02
HEU,1,0,207,2.31E+02
HEU,1,0,209,1.91E+02
HEU,1,0,211,1.58E+02
HEU,1,0,213,1.31E+02
HEU,1,0,215,1.07E+02
HEU,1,0,217,8.53E+01
HEU,1,0,219,6.69E+01
HEU,1,0,221,5.15E+01
HEU,1,0,223,3.93E+01
HEU,1,0,225,3.01E+01
HEU,1,0,227,2.34E+01
HEU,1,0,229,1.89E+01
HEU,1,0,231,1.61E+01
HEU,1,0,233,1.45E+01
HEU,1,0,235,1.35E+01
HEU,1,0,237,1.30E+01
HEU,1,0,239,1.25E+01
HEU,1,0,241,1.21E+01
HEU,1,0,243,1.15E+01
HEU,1,0,245,1.09E+01
HEU,1,0,247,1.01E+01
HEU,1,0,249,9.21E+00
HEU,1,0,251,8.34E+00
HEU,1,0,253,7.50E+00
HEU,1,0,255,6.76E+00
HEU,1,0,257,6.15E+00
HEU,1,0,259,5.69E+00
HEU,1,0,261,5.40E+00
HEU,1,0,263,5.25E+00
HEU,1,0,265,5.24E+00
HEU,1,0,267,5.34E+00
HEU,1,0,269,5.52E+00
HEU,1,0,271,5.74E+00
HEU,1,0,273,5.98E+00
HEU,1,0,275,6.20E+00
HEU,1,0,277,6.40E+00
HEU,1,0,279,6.54E+00
HEU,1,0,281,6.64E+00
HEU,1,0,283,6.67E+00
HEU,1,0,285,6.65E+00
HEU,1,0,287,6.58E+00
HEU,1,0,289,6.46E+00
HEU,1,0,291,6.30E+00
HEU,1,0,293,6.10E+00
HEU,1,0,295,5.88E+00
HEU,1,0,297,5.63E+00
HEU,1,0,299,5.37E+00
HEU,1,0,301,5.10E+00
HEU,1,0,303,4.83E+00
HEU,1,0,305,4.57E+00
HEU,1,0,307,4.32E+00
HEU,1,0,309,4.09E+00
HEU,1,0,311,3.88E+00
HEU,1,0,313,3.70E+00
HEU,1,0,315,3.56E+00
HEU,1,0,317,3.45E+00
HEU,1,0,319,3.38E+00
HEU,1,0,321,3.35E+00
HEU,1,0,323,3.35E+00
HEU,1,0,325,3.39E+00
HEU,1,0,327,3.47E+00
HEU,1,0,329,3.57E+00
HEU,1,0,331,3.69E+00
HEU,1,0,333,3.83E+00
HEU,1,0,335,3.98E+00
HEU,1,0,337,4.13E+00
HEU,1,0,339,4.27E+00
HEU,1,0,341,4.40E+00
HEU,1,0,343,4.49E+00
HEU,1,0,345,4.55E+00
HEU,1,0,347,4.58E+00
HEU,1,0,349,4.56E+00
HEU,1,0,351,4.51E+00
HEU,1,0,353,4.43E+00
HEU,1,0,355,4.32E+00
HEU,1,0,357,4.20E+00
HEU,1,0,359,4.07E+00
HEU,1,0,361,3.94E+00
HEU,1,0,363,3.83E+00
HEU,1,0,365,3.74E+00
HEU,1,0,367,3.68E+00
HEU,1,0,369,3.65E+00
HEU,1,0,371,3.65E+00
HEU,1,0,373,3.68E+00
HEU,1,0,375,3.74E+00
HEU,1,0,377,3.81E+00
HEU,1,0,379,3.89E+00
HEU,1,0,381,3.98E+00
HEU,1,0,383,4.05E+00
HEU,1,0,385,4.11E+00
HEU,1,0,387,4.15E+00
HEU,1,0,389,4.16E+00
HEU,1,0,391,4.14E+00
HEU,1,0,393,4.09E+00
HEU,1,0,395,4.02E+00
HEU,1,0,397,3.92E+00
HEU,1,0,399,3.79E+00
HEU,1,0,401,3.66E+00
HEU,1,0,403,3.51E+00
HEU,1,0,405,3.36E+00
HEU,1,0,407,3.21E+00
HEU,1,0,409,3.07E+00
HEU,1,0,411,2.93E+00
HEU,1,0,413,2.81E+00
HEU,1,0,415,2.70E+00
HEU,1,0,417,2.60E+00
HEU,1,0,419,2.51E+00
HEU,1,0,421,2.44E+00
HEU,1,0,423,2.37E+00
HEU,1,0,425,2.32E+00
HEU,1,0,427,2.27E+00
HEU,1,0,429,2.24E+00
HEU,1,0,431,2.21E+00
HEU,1,0,433,2.18E+00
HEU,1,0,435,2.16E+00
HEU,1,0,437,2.14E+00
HEU,1,0,439,2.13E+00
HEU,1,0,441,2.12E+00
HEU,1,0,443,2.11E+00
HEU,1,0,445,2.10E+00
HEU,1,0,447,2.10E+00
HEU,1,0,449,2.09E+00
HEU,1,0,451,2.09E+00
HEU,1,0,453,2.08E+00
HEU,1,0,455,2.08E+00
HEU,1,0,457,2.07E+00
HEU,1,0,459,2.07E+00
HEU,1,0,461,2.07E+00
HEU,1,0,463,2.07E+00
HEU,1,0,465,2.08E+00
HEU,1,0,467,2.09E+00
HEU,1,0,469,2.11E+00
HEU,1,0,471,2.14E+00
HEU,1,0,473,2.18E+00
HEU,1,0,475,2.24E+00
HEU,1,0,477,2.30E+00
HEU,1,0,479,2.39E+00
HEU,1,0,481,2.48E+00
HEU,1,0,483,2.60E+00
HEU,1,0,485,2.73E+00
HEU,1,0,487,2.88E+00
HEU,1,0,489,3.04E+00
HEU,1,0,491,3.21E+00
HEU,1,0,493,3.39E+00
HEU,1,0,495,3.57E+00
HEU,1,0,497,3.76E+00
HEU,1,0,499,3.94E+00
HEU,1,0,501,4.10E+00
HEU,1,0,503,4.24E+00
HEU,1,0,505,4.37E+00
HEU,1,0,507,4.46E+00
HEU,1,0,509,4.53E+00
HEU,1,0,511,4.56E+00
HEU,1,0,513,4.55E+00
HEU,1,0,515,4.51E+00
HEU,1,0,517,4.44E+00
HEU,1,0,519,4.33E+00
HEU,1,0,521,4.20E+00
HEU,1,0,523,4.04E+00
HEU,1,0,525,3.87E+00
HEU,1,0,527,3.69E+00
HEU,1,0,529,3.51E+00
HEU,1,0,531,3.33E+00
HEU,1,0,533,3.16E+00
HEU,1,0,535,3.01E+00
HEU,1,0,537,2.87E+00
HEU,1,0,539,2.76E+00
HEU,1,0,541,2.68E+00
HEU,1,0,543,2.63E+00
HEU,1,0,545,2.61E+00
HEU,1,0,547,2.62E+00
HEU,1,0,549,2.67E+00
HEU,1,0,551,2.75E+00
HEU,1,0,553,2.86E+00
HEU,1,0,555,3.00E+00
HEU,1,0,557,3.17E+00
HEU,1,0,559,3.36E+00
HEU,1,0,561,3.58E+00
HEU,1,0,563,3.81E+00
HEU,1,0,565,4.05E+00
HEU,1,0,567,4.29E+00
HEU,1,0,569,4.54E+00
HEU,1,0,571,4.77E+00
HEU,1,0,573,4.99E+00
HEU,1,0,575,5.18E+00
HEU,1,0,577,5.35E+00
HEU,1,0,579,5.48E+00
HEU,1,0,581,5.57E+00
HEU,1,0,583,5.62E+00
HEU,1,0,585,5.63E+00
HEU,1,0,587,5.59E+00
HEU,1,0,589,5.51E+00
HEU,1,0,591,5.38E+00
HEU,1,0,593,5.22E+00
HEU,1,0,595,5.02E+00
HEU,1,0,597,4.80E+00
HEU,1,0,599,4.55E+00
HEU,1,0,601,4.29E+00
HEU,1,0,603,4.02E+00
HEU,1,0,605,3.74E+00
HEU,1,0,607,3.47E+00
HEU,1,0,609,3.20E+00
HEU,1,0,611,2.95E+00
HEU,1,0,613,2.71E+00
HEU,1,0,615,2.49E+00
HEU,1,0,617,2.29E+00
HEU,1,0,619,2.11E+00
HEU,1,0,621,1.95E+00
HEU,1,0,623,1.81E+00
HEU,1,0,625,1.69E+00
HEU,1,0,627,1.58E+00
HEU,1,0,629,1.50E+00
HEU,1,0,631,1.42E+00
HEU,1,0,633,1.36E+00
HEU,1,0,635,1.31E+00
HEU,1,0,637,1.27E+00
HEU,1,0,639,1.24E+00
HEU,1,0,641,1.21E+00
HEU,1,0,643,1.19E+00
HEU,1,0,645,1.17E+00
HEU,1,0,647,1.16E+00
HEU,1,0,649,1.15E+00
HEU,1,0,651,1.14E+00
HEU,1,0,653,1.13E+00
HEU,1,0,655,1.12E+00
HEU,1,0,657,1.12E+00
HEU,1,0,659,1.11E+00
HEU,1,0,661,1.11E+00
HEU,1,0,663,1.11E+00
HEU,1,0,665,1.11E+00
HEU,1,0,667,1.10E+00
HEU,1,0,669,1.11E+00
HEU,1,0,671,1.11E+00
HEU,1,0,673,1.11E+00
HEU,1,0,675,1.12E+00
HEU,1,0,677,1.13E+00
HEU,1,0,679,1.14E+00
HEU,1,0,681,1.15E+00
HEU,1,0,683,1.16E+00
HEU,1,0,685,1.18E+00
HEU,1,0,687,1.21E+00
HEU,1,0,689,1.23E+00
HEU,1,0,691,1.26E+00
HEU,1,0,693,1.29E+00
HEU,1,0,695,1.33E+00
HEU,1,0,697,1.37E+00
HEU,1,0,699,1.41E+00
HEU,1,0,701,1.45E+00
HEU,1,0,703,1.50E+00
HEU,1,0,705,1.55E+00
HEU,1,0,707,1.60E+00
HEU,1,0,709,1.65E+00
HEU,1,0,711,1.70E+00
HEU,1,0,713,1.75E+00
HEU,1,0,715,1.80E+00
HEU,1,0,717,1.85E+00
HEU,1,0,719,1.89E+00
HEU,1,0,721,1.93E+00
HEU,1,0,723,1.96E+00
HEU,1,0,725,1.99E+00
HEU,1,0,727,2.01E+00
HEU,1,0,729,2.03E+00
HEU,1,0,731,2.04E+00
HEU,1,0,733,2.05E+00
HEU,1,0,735,2.04E+00
HEU,1,0,737,2.04E+00
HEU,1,0,739,2.03E+00
HEU,1,0,741,2.01E+00
HEU,1,0,743,1.99E+00
HEU,1,0,745,1.96E+00
HEU,1,0,747,1.93E+00
HEU,1,0,749,1.90E+00
HEU,1,0,751,1.87E+00
HEU,1,0,753,1.84E+00
HEU,1,0,755,1.80E+00
HEU,1,0,757,1.77E+00
HEU,1,0,759,1.73E+00
HEU,1,0,761,1.70E+00
HEU,1,0,763,1.66E+00
HEU,1,0,765,1.63E+00
HEU,1,0,767,1.59E+00
HEU,1,0,769,1.56E+00
HEU,1,0,771,1.53E+00
HEU,1,0,773,1.50E+00
HEU,1,0,775,1.47E+00
HEU,1,0,777,1.44E+00
HEU,1,0,779,1.41E+00
HEU,1,0,781,1.38E+00
HEU,1,0,783,1.35E+00
HEU,1,0,785,1.32E+00
HEU,1,0,787,1.29E+00
HEU,1,0,789,1.27E+00
HEU,1,0,791,1.24E+00
HEU,1,0,793,1.21E+00
HEU,1,0,795,1.19E+00
HEU,1,0,797,1.16E+00
HEU,1,0,799,1.14E+00
HEU,1,0,801,1.12E+00
HEU,1,0,803,1.10E+00
HEU,1,0,805,1.08E+00
HEU,1,0,807,1.07E+00
HEU,1,0,809,1.06E+00
HEU,1,0,811,1.05E+00
HEU,1,0,813,1.04E+00
HEU,1,0,815,1.03E+00
HEU,1,0,817,1.03E+00
HEU,1,0,819,1.03E+00
HEU,1,0,821,1.04E+00
HEU,1,0,823,1.04E+00
HEU,1,0,825,1.05E+00
HEU,1,0,827,1.06E+00
HEU,1,0,829,1.07E+00
HEU,1,0,831,1.09E+00
HEU,1,0,833,1.11E+00
HEU,1,0,835,1.12E+00
HEU,1,0,837,1.14E+00
HEU,1,0,839,1.16E+00
HEU,1,0,841,1.18E+00
HEU,1,0,843,1.20E+00
HEU,1,0,845,1.22E+00
HEU,1,0,847,1.23E+00
HEU,1,0,849,1.25E+00
HEU,1,0,851,1.26E+00
